#id, arr_time, task_id, skills, task_prio, order
69, 362.9, 37, [[2,886],[3,5453],[1,1496]], 11, 4
70, 364.8, 4, [[3,668]], 8, 4
71, 373.7, 1, [[1,1713],[2,1039],[3,3289]], 4, 2
72, 379.5, 0, [[3,4743]], 1, 1
73, 381.9, 14, [[1,2783],[3,5264]], 9, 5
74, 391.2, 37, [[2,2314],[1,1540],[3,4443]], 11, 5
75, 399.8, 30, [[3,1587]], 1, 3
76, 402.1, 26, [[2,2121]], 16, 1
77, 408.2, 9, [[1,5613]], 20, 3
78, 415.9, 32, [[3,4345],[2,1350]], 20, 1
79, 418.4, 20, [[1,2136]], 17, 1
80, 424.7, 10, [[1,2896]], 9, 2
81, 427.9, 32, [[3,733],[1,3010]], 20, 2
82, 433.6, 19, [[3,3149]], 4, 2
83, 439.9, 36, [[2,3385],[1,4055],[3,3447]], 7, 1
84, 443.2, 34, [[1,2129],[3,705],[2,4865]], 18, 1
85, 453.1, 23, [[2,2724]], 17, 1
86, 455.3, 26, [[2,3964],[3,1087],[1,2335]], 16, 2
87, 459.5, 28, [[3,4420],[1,990],[2,896]], 18, 1
88, 466.9, 39, [[1,5723],[2,4630]], 3, 3
89, 473.2, 38, [[2,1935],[1,767]], 5, 2
90, 478.3, 15, [[3,2458],[1,4814],[2,617]], 5, 3
91, 480.9, 20, [[2,4943],[1,1727]], 17, 2
92, 487.9, 14, [[3,3517],[1,590],[2,1050]], 9, 6
93, 491.4, 23, [[2,3364],[3,4099],[1,4948]], 17, 2
94, 493.7, 15, [[1,2523],[2,3896]], 5, 4
95, 501.3, 12, [[2,3891]], 4, 1
96, 507.4, 4, [[3,1530],[2,5032],[1,5798]], 8, 5
97, 507.8, 33, [[3,4671],[1,915],[2,3498]], 2, 2
98, 514.9, 27, [[3,1652],[2,2107]], 9, 2
99, 522.6, 1, [[3,697],[1,1405],[2,3315]], 4, 3
100, 522.7, 18, [[1,1484],[3,3618]], 13, 3
101, 527.1, 31, [[2,3667]], 18, 4
102, 530.4, 11, [[1,4879],[2,2578]], 5, 1
103, 537.5, 16, [[2,4194],[1,1548]], 18, 3
104, 541.6, 39, [[2,2280],[1,521]], 3, 4
105, 541.8, 25, [[3,3841],[1,5588],[2,3597]], 9, 3
106, 547.3, 7, [[1,1648],[3,855],[2,3588]], 16, 1
107, 554.8, 15, [[3,1823]], 5, 5
108, 556.4, 27, [[1,4522]], 9, 3
109, 564.6, 24, [[1,885]], 15, 4
110, 573.3, 7, [[2,2633],[1,5670],[3,697]], 16, 2
111, 576.0, 0, [[2,4018],[3,2272]], 1, 2
112, 581.1, 34, [[1,5177],[2,1049]], 18, 2
113, 590.5, 11, [[3,2389],[2,1321]], 5, 2
114, 595.8, 30, [[3,3209],[1,824],[2,1371]], 1, 4
115, 602.5, 31, [[3,5605],[1,5622],[2,4648]], 18, 5
116, 606.1, 17, [[1,2191]], 15, 2
117, 606.8, 28, [[1,2833]], 18, 2
118, 612.5, 33, [[3,4966]], 2, 2
119, 616.8, 3, [[1,4534],[3,5185]], 7, 2
120, 622.1, 11, [[2,3147],[1,525]], 5, 3
121, 629.7, 36, [[3,2323],[1,4291],[2,1257]], 7, 2
122, 638.5, 3, [[3,5654],[1,2018]], 7, 3
123, 644.1, 34, [[2,5137]], 18, 3
124, 651.8, 33, [[3,3616],[2,2948],[1,5823]], 2, 3
125, 654.1, 36, [[3,3442],[2,2536]], 7, 3
126, 659.4, 21, [[2,2064],[3,1706],[1,2178]], 1, 2
127, 661.4, 16, [[1,3278]], 18, 4
128, 668.2, 10, [[1,1121],[3,3431],[2,1967]], 9, 3
129, 675.5, 14, [[2,783],[3,953]], 9, 7
130, 681.6, 6, [[1,4070],[3,4291]], 2, 1
131, 689.4, 21, [[3,3357],[1,1669]], 1, 3
132, 697.6, 33, [[1,3164]], 2, 4
133, 699.0, 38, [[3,1338],[1,3319]], 5, 3
134, 699.1, 10, [[2,2241]], 9, 4
135, 705.6, 28, [[1,2123]], 18, 3
136, 711.6, 26, [[2,1403],[3,5040]], 16, 3
137, 719.3, 33, [[3,5479],[2,4541],[1,3371]], 2, 5
138, 723.2, 10, [[2,3917],[3,2361],[1,1138]], 9, 5
139, 731.0, 22, [[2,1542],[3,2433],[1,759]], 17, 3
140, 732.1, 7, [[2,2682],[3,3642],[1,4544]], 16, 3
141, 741.7, 35, [[2,5173],[3,5414],[1,3229]], 8, 4
142, 746.4, 24, [[2,3655]], 15, 5
143, 751.3, 28, [[3,4208],[2,2105]], 18, 4
144, 761.3, 11, [[1,2278],[3,3013]], 5, 4
145, 769.4, 34, [[3,1170],[1,5055],[2,3465]], 18, 4
146, 778.6, 15, [[1,2457],[2,4465],[3,4602]], 5, 5
147, 780.7, 3, [[2,1274],[3,4105],[1,2156]], 7, 4
148, 790.2, 38, [[1,1571]], 5, 4
149, 793.2, 38, [[1,1249]], 5, 5
150, 802.1, 10, [[3,4091],[2,1587]], 9, 6
151, 808.0, 15, [[2,3529],[3,3970]], 5, 6
152, 810.8, 24, [[3,3888]], 15, 6
153, 815.9, 27, [[1,5546],[2,5557],[3,5042]], 9, 4
154, 823.0, 1, [[1,5870],[3,4689]], 4, 4
155, 829.2, 6, [[2,802],[1,3169]], 2, 2
156, 838.3, 33, [[2,4731]], 2, 6
157, 843.5, 15, [[3,1311],[2,4686],[1,1276]], 5, 7
158, 847.0, 36, [[1,4153],[3,2344],[2,2056]], 7, 4
159, 853.5, 32, [[3,3355],[2,4992],[1,5500]], 20, 3
160, 853.7, 21, [[1,729],[3,2345],[2,1637]], 1, 4
161, 857.0, 12, [[1,3196],[3,1331],[2,4319]], 4, 2
162, 859.4, 26, [[3,1790]], 16, 4
163, 866.4, 10, [[1,1037]], 9, 7
164, 867.6, 16, [[2,4338],[3,3762],[1,4705]], 18, 5
165, 876.6, 13, [[1,3883]], 15, 4
166, 879.5, 8, [[3,4444],[1,4765]], 17, 2
167, 887.1, 29, [[1,776]], 9, 3
168, 890.6, 10, [[1,5771]], 9, 8
169, 897.9, 3, [[3,2718],[2,1346]], 7, 5
170, 905.9, 27, [[2,3875]], 9, 4
171, 907.0, 21, [[2,3809]], 1, 5
172, 910.4, 19, [[1,5720]], 4, 3
173, 911.1, 27, [[3,3797],[1,4780]], 9, 5
174, 918.7, 3, [[2,1421],[3,2737],[1,1155]], 7, 6
175, 921.2, 21, [[3,5869],[2,5291]], 1, 6
176, 930.1, 6, [[1,623],[3,1019],[2,500]], 2, 2
177, 936.0, 34, [[3,4312]], 18, 5
178, 936.4, 38, [[1,3383]], 5, 6
179, 945.9, 0, [[3,632]], 1, 2
180, 950.4, 4, [[1,5239],[3,1161]], 8, 6
181, 955.0, 1, [[1,1961]], 4, 5
182, 955.0, 38, [[2,3550],[1,3386]], 5, 7
183, 955.2, 18, [[3,3146],[2,2757],[1,4317]], 13, 4
184, 957.5, 9, [[2,5268]], 20, 4
185, 964.6, 24, [[1,1242]], 15, 6
186, 971.2, 13, [[1,1737]], 15, 5
187, 977.6, 4, [[1,5759],[3,905]], 8, 7
188, 983.0, 30, [[2,2680]], 1, 5
189, 990.1, 22, [[2,1965],[3,5085],[1,938]], 17, 4
190, 995.9, 1, [[3,1081],[1,5980]], 4, 6
191, 1003.3, 17, [[3,1315],[1,1812],[2,4099]], 15, 3
192, 1008.8, 13, [[3,3740],[2,3639],[1,4345]], 15, 5
193, 1014.0, 21, [[2,5164],[1,1918],[3,1486]], 1, 7
194, 1014.0, 8, [[2,2271],[3,4840],[1,4062]], 17, 3
195, 1016.4, 28, [[3,3646],[1,4303],[2,3634]], 18, 5
196, 1023.7, 13, [[2,3818],[3,1172]], 15, 6
197, 1033.5, 1, [[1,3095],[2,1742]], 4, 7
198, 1034.0, 26, [[2,2533]], 16, 5
199, 1034.2, 23, [[3,3240],[1,2424]], 17, 3
